X,Y,X,Y,OBJECTID,Status,Score,Match_type,Match_addr,state,fdid,inc_date,inc_no,exp_no,dept_sta,version,inc_type,add_wild,aid,alarm,arrival,inc_cont,lu_clear,shift,alarms,district,act_tak1,act_tak2,act_tak3,app_mod,sup_app,ems_app,oth_app,sup_per,ems_per,oth_per,resou_aid,prop_loss,cont_loss,prop_val,cont_val,ff_death,oth_death,ff_inj,oth_inj,det_alert,haz_rel,mixed_use,prop_use,num_unit,not_res,bldg_invol,acres_burn,less_1acre,on_site_m1,on_site_m2,on_site_m3,mat_stor1,mat_stor2,mat_stor3,area_orig,heat_sourc,first_ign,conf_orig,type_mat,cause_ign,fact_ign_1,fact_ign_2,hum_fac_1,hum_fac_2,hum_fac_3,hum_fac_4,hum_fac_5,hum_fac_6,hum_fac_7,hum_fac_8,age,sex,equip_inv,mob_invol,sup_fac_1,sup_fac_2,sup_fac_3,mob_type,mob_make,mob_model,mob_year,mob_lic_pl,mob_state,mob_vin_no,eq_brand,eq_model,eq_ser_no,eq_year,eq_power,eq_port,struc_type,struc_stat,bldg_above,bldg_below,bldg_lgth,bldg_width,tot_sq_ft,fire_orig,fire_sprd,st_dam_min,st_dam_sig,st_dam_hvy,st_dam_xtr,flame_sprd,item_sprd,mat_sprd,detector,det_type,det_power,det_operat,det_effect,det_fail,aes_pres,aes_type,aes_oper,no_spr_op,aes_fail,census,loc_type,num_mile,street_pre,streetname,streettype,streetsuf,apt_no,city_1,state_id,zip,x_street,responseti,Street_ADR,Flag,AddNumFrom,AddNumTo,GEOID10,NAMELSAD10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
-77.152988,38.87623991,-77.152988,38.87623991,1,M,90.1,A,"500 Roosevelt Blvd, Falls Church, Virginia, 22044",VA,1300,12/20/2006,3540056,0,106,5,111,0,2,,,,,B,1,4604,12,51,86,0,7,2,0,24,3,0,0,5000,5000,0,0,0,0,0,0,2,,,429,100,,0,,,NNN,,,N,,,72,12,51,,71,2,12,13,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,4,0,,,50,4,2,0,0,0,0,,,,N,,,,,,N,0,0,0,,,1,500,,ROOSEVELT,BL,,,Falls Church,VA,22040,,315,500 ROOSEVELT BL,1,,,51610500300,Census Tract 5003,1708316,0,38.8789302,-77.161962
-77.16059076,38.87431444,-77.16059076,38.87431444,4,M,100,A,"1008 Hillwood Ave, Falls Church, Virginia, 22042",VA,1300,5/5/2009,1250009,0,106,5,111,0,2,,,,,B,1,4604,11,12,21,0,11,1,0,20,1,0,0,50000,10000,0,0,0,0,0,0,2,,,419,1,,1,,,NNN,,,N,,,21,UU,UU,,99,5,UU,,1,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,2,1,,,2100,2,2,0,0,0,0,,,,N,,,,,,N,0,0,0,,,1,1008,,HILLWOOD AV,,,,Falls Church,VA,22042,,326,1008 HILLWOOD AV,1,,,51610500300,Census Tract 5003,1708316,0,38.8789302,-77.161962
-77.15510474,38.87846381,-77.15510474,38.87846381,5,M,100,A,"1000 N Sycamore St, Falls Church, Virginia, 22046",VA,1300,5/25/2010,1450071,0,106,5,111,0,1,,,,,C,1,4604,11,12,21,0,8,3,0,23,4,0,0,25000,12500,0,0,0,1,0,0,U,,,419,1,,0,,,NNN,,,N,,,24,UU,UU,,UU,5,UU,,5,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,1,1,,,120,1,2,0,0,0,0,,UU,UU,1,1,1,U,,U,N,0,0,0,,,1,1000,N,SYCAMORE,ST,,,Falls Church,VA,22046,,258,1000 N SYCAMORE ST,1,,,51610500300,Census Tract 5003,1708316,0,38.8789302,-77.161962
-77.18926529,38.88739054,-77.18926529,38.88739054,6,M,100,A,"902 Madison Ln, Falls Church, Virginia, 22046",VA,1300,10/4/2009,2770055,0,106,5,111,0,2,,,,,B,1,4601,10,11,12,0,11,1,0,19,3,0,0,25000,5000,500000,50000,0,0,0,0,2,N,,419,1,,1,,,NNN,,,N,,,26,84,30,,71,2,12,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,1,1,,,1200,1,2,0,1,0,0,,,,1,U,U,U,,,N,0,0,0,,,1,902,,MADISON,LN,,,Falls Church,VA,22046,,406,902 MADISON LN,1,,,51610500200,Census Tract 5002,1943951,6,38.8845751,-77.184449
-77.18128689,38.88880554,-77.18128689,38.88880554,7,M,100,A,"815 W Broad St, Falls Church, Virginia, 22046",VA,1300,2/11/2005,420011,0,ST0,5,111,0,1,,,,,B,1,4605,12,51,86,0,4,1,0,12,2,0,0,5000,200,600000,100000,0,0,0,0,U,,,342,0,,1,,,NNN,,,N,,,24,66,20,,41,2,12,,1,0,,,,,,,40,1,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,2,1,,,80,-1,2,1,0,0,0,,20,33,1,1,1,1,,,N,0,0,0,,,1,815,W,BROAD,ST,,,Falls Church,VA,22046,,413,815 W BROAD ST,1,,,51610500100,Census Tract 5001,1524546,0,38.8897746,-77.1759258
-77.16921213,38.88695382,-77.16921213,38.88695382,9,M,100,A,"320 Little Falls St, Falls Church, Virginia, 22046",VA,1300,6/16/2008,1680049,0,106,5,111,0,1,,,,,A,1,4603,10,11,12,0,8,2,0,22,3,0,0,50000,10000,0,0,0,0,0,0,,,,419,1,,0,,,NNN,,,N,,,72,UU,UU,,UU,U,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,2,1,,,2400,1,4,1,0,0,0,,UU,99,N,,,,,,N,0,0,0,,,1,320,,LITTLE FALLS,ST,,,Falls Church,VA,22046,,235,320 LITTLE FALLS ST,1,,,51610500100,Census Tract 5001,1524546,0,38.8897746,-77.1759258
-77.18285284,38.89477667,-77.18285284,38.89477667,10,M,100,A,"303 Sycamore St, Falls Church, Virginia, 22046",VA,1300,8/9/2009,2210010,0,106,5,111,0,1,,,,,B,1,4605,51,73,75,0,4,0,0,13,0,0,0,100,500,0,0,0,0,0,0,,,,419,1,,0,,,NNN,,,N,,,26,12,94,,71,2,55,,N,0,,,,,,,0,0,811,N,NNN,0,0,,,,,,,,Kenmore,87692800,M74211737,,21,2,1,2,2,1,,,1000,1,1,1,0,0,0,,,,1,1,1,2,1,,N,0,0,0,,,1,303,,SYCAMORE,ST,,,Falls Church,VA,22046,,379,303 SYCAMORE ST,1,,,51610500100,Census Tract 5001,1524546,0,38.8897746,-77.1759258
-77.14886975,38.88738823,-77.14886975,38.88738823,11,M,90.1,A,"6201 Washington Blvd, Arlington, Virginia, 22205",VA,1300,6/4/2005,1550030,0,106,5,111,0,1,,,,,c,1,7603,10,12,21,0,9,3,0,19,4,0,0,25000,50000,0,0,0,0,0,0,,,,131,0,,1,,,NNN,,,N,,,13,UU,21,,71,5,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,2,1,,,1500,-1,2,0,1,0,0,,,,N,,,,,,N,0,0,0,,,1,6201,,WASHINGTON,BL,,,Arlington,VA,22046,,555,6201 WASHINGTON BL,1,,,51013101100,Census Tract 1011,2144844,0,38.8853921,-77.1524959
-77.17311606,38.88145053,-77.17311606,38.88145053,12,M,92.43,A,"500 W Annandale Rd, Falls Church, Virginia, 22046",VA,1300,11/5/2005,3090070,0,UNK,5,111,0,2,,,,,A,1,0,10,12,21,0,5,0,0,14,0,0,0,5000,20000,0,0,0,0,0,0,U,,,599,0,,0,,,NNN,,,N,,,27,UU,51,,60,5,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,4,0,,,25000,3,2,1,0,0,0,,UU,UU,1,1,2,2,3,,1,1,1,1,,,6,500,,Annandale,RD,,,Falls Church,VA,22046,500 W ANNANDALE RD,364,500 Annandale RD,1,,,51610500200,Census Tract 5002,1943951,6,38.8845751,-77.184449
-77.17594606,38.88697572,-77.17594606,38.88697572,13,M,100,A,"431 Park Ave, Falls Church, Virginia, 22046",VA,1300,2/19/2008,500037,0,106,5,111,0,2,,,,,C,1,4602,11,12,57,0,12,3,0,22,3,0,0,1000,0,0,0,0,0,0,0,,,,599,0,,0,,,NNN,,,N,,,UU,UU,UU,,UU,5,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,1,4,0,,,2000,3,4,0,0,0,0,,,,N,,,,,,N,0,0,0,,,1,431,,PARK AV,,,,Falls Church,VA,22046,,272,431 PARK AV,1,,,51610500100,Census Tract 5001,1524546,0,38.8897746,-77.1759258
-77.18298766,38.88810841,-77.18298766,38.88810841,14,M,100,A,"112 S Spring St, Falls Church, Virginia, 22046",VA,1300,1/23/2008,230048,1,,5,111,0,N,,,1/23/2008 16:09,,C,1,0,86,0,0,0,1,0,0,4,0,0,0,500,0,0,0,0,0,0,0,,,,419,1,,0,,,NNN,,,N,,,90,65,73,,0,0,71,,N,0,,,,,,,15,2,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,2,1,,,600,1,4,1,0,0,0,,12,41,N,,,,,,N,0,0,0,,,1,112,S,Spring,ST,,,Falls Church,VA,22046,,559,112 S Spring ST,1,,,51610500200,Census Tract 5002,1943951,6,38.8845751,-77.184449
-77.1695774,38.88341517,-77.1695774,38.88341517,15,M,90.1,A,"201 N Washington St, Falls Church, Virginia, 22046",VA,1300,2/9/2013,400026,0,106,5,111,0,N,,,,,B,1,4602,73,74,75,0,1,0,0,4,0,0,0,1000,1000,0,0,0,0,0,0,,,,340,0,,0,,,NNN,,,N,,,5,12,16,,UU,2,30,36,N,0,,,,,,,0,0,100,N,NNN,0,0,,,,,,,,,,,,10,2,1,2,1,0,,,80,1,2,0,0,0,0,,25,35,N,,,,,,N,0,0,0,,,1,201,N,WASHINGTON,ST,,,Falls Church,VA,22042,,486,201 N WASHINGTON ST,1,,,51610500100,Census Tract 5001,1524546,0,38.8897746,-77.1759258
-77.17490671,38.88107719,-77.17490671,38.88107719,18,M,82.53,A,"300 S Maple Ave, Falls Church, Virginia, 22046",VA,1300,6/1/2005,1520003,0,UNK,5,111,0,1,,,,,A,1,0,10,0,0,0,19,2,0,49,3,0,0,150000,0,0,0,0,0,0,0,,,,111,0,,1,,,NNN,,,N,,,UU,UU,UU,,UU,5,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,U,1,0,,,30000,1,4,0,0,0,1,,10,99,N,,,,,,N,0,0,0,,,6,300,,MAPLE,AV,,,Falls Church,VA,22042,408 S MAPLE AV,536,300 MAPLE AV,1,,,51610500200,Census Tract 5002,1943951,6,38.8845751,-77.184449
-77.16661028,38.8850756,-77.16661028,38.8850756,19,M,100,A,"103 W Columbia St, Falls Church, Virginia, 22046",VA,1300,5/24/2006,1440023,0,UNK,5,111,0,1,,,,,A,2,0,11,21,51,0,8,2,0,22,3,0,0,2500000,50000,0,0,0,0,0,0,,,,131,0,,0,,,NNN,,,N,,,41,UU,UU,,UU,5,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,6,1,0,,,3750,1,3,0,0,0,0,,UU,UU,1,1,2,2,1,,1,0,0,0,,,6,0,,,,,,Falls Church,VA,22046,103 W COLUMBIA ST,278,103 W COLUMBIA ST,1,,,51610500100,Census Tract 5001,1524546,0,38.8897746,-77.1759258
-77.17331656,38.88525651,-77.17331656,38.88525651,20,M,100,A,"313 Park Ave, Falls Church, Virginia, 22046",VA,1300,1/27/2010,270044,0,106,5,111,0,2,,,,,B,1,4602,11,12,21,0,13,3,0,31,4,0,0,250,50,0,0,0,0,0,0,,,,342,0,,0,,,NNN,,,N,,,UU,UU,UU,,UU,5,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,3,1,,,400,-1,1,0,0,0,0,,,,N,,,,,,N,0,0,0,,,1,313,,PARK AV,,,,Falls Church,VA,22046,,244,313 PARK AV,1,,,51610500100,Census Tract 5001,1524546,0,38.8897746,-77.1759258
-77.18709669,38.89251589,-77.18709669,38.89251589,21,M,100,A,"1105 W Broad St, Falls Church, Virginia, 22046",VA,1300,10/15/2007,2880063,0,106,5,111,0,1,,,,,B,1,4605,11,12,21,0,14,1,0,29,2,0,0,50000,50000,0,0,0,0,0,0,,,,579,0,,0,,,NNN,,,N,,,UU,UU,UU,,UU,5,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,1,0,,,1800,1,4,0,1,0,0,,,,N,,,,,,N,0,0,0,,,1,1105,W,BROAD,ST,,,Falls Church,VA,22046,,196,1105 W BROAD ST,1,,,51610500200,Census Tract 5002,1943951,6,38.8845751,-77.184449
-77.1732359,38.88520581,-77.1732359,38.88520581,22,M,100,A,"311 Park Ave, Falls Church, Virginia, 22046",VA,1300,6/4/2013,1550044,0,106,5,111,0,1,,,,,B,1,4602,11,21,51,0,9,1,0,15,4,0,0,0,1200,0,0,0,0,0,0,,,,342,0,,0,,,NNN,,,N,,,75,UU,UU,,UU,5,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,2,0,,,100,2,2,0,0,0,0,,,,N,,,,,,N,0,0,0,,,1,311,,PARK AV,,,2,Falls Church,VA,22046,,247,311 PARK AV,1,,,51610500100,Census Tract 5001,1524546,0,38.8897746,-77.1759258
-77.16830989,38.87861361,-77.16830989,38.87861361,23,M,100,A,"126 Rolling Trce, Falls Church, Virginia, 22046",VA,1300,12/7/2008,3420033,2,,5,111,0,2,,,,,b,1,0,11,0,0,0,1,0,0,4,0,0,0,30000,5000,615000,5000,0,0,0,0,,,,419,3,,0,,,NNN,,,N,,,75,80,17,,60,0,71,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,3,0,,,50,3,1,0,0,0,0,,,,N,,,,,,N,0,0,0,,,1,126,,Rolling,TRCE,,,Falls Church,VA,22046,,419,126 Rolling TRCE,1,,,51610500300,Census Tract 5003,1708316,0,38.8789302,-77.161962
-77.17801671,38.88668649,-77.17801671,38.88668649,24,M,100,A,"513 W Broad St, Falls Church, Virginia, 22046",VA,1300,6/4/2006,1550024,0,UNK,5,111,0,2,,,,,A,1,0,11,12,51,0,3,1,0,9,1,0,0,30000,0,0,0,0,0,0,0,,,,981,0,,0,,,NNN,,,N,,,47,UU,UU,,UU,5,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,1,8,1,,,10000,-1,1,0,0,0,0,,,,N,,,,,,N,0,0,0,,,1,513,W,Broad,ST,,,Falls Church,VA,22046,,279,513 W Broad ST,1,,,51610500200,Census Tract 5002,1943951,6,38.8845751,-77.184449
-77.16798034,38.88816372,-77.16798034,38.88816372,25,M,100,A,"301 Shadow Walk, Falls Church, Virginia, 22046",VA,1300,2/18/2013,490008,0,106,5,111,0,2,,,,,B,3,4603,11,12,73,0,17,5,0,37,7,0,0,250000,100000,0,0,0,0,2,0,,,,419,1,,0,,,NNN,,,N,,,52,UU,UU,,UU,5,UU,,1,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,2,1,,,1500,2,4,0,0,0,0,,UU,UU,N,,,,,,N,0,0,0,,,1,301,,SHADOW WK,,,,Falls Church,VA,22046,,176,301 SHADOW WK,1,,,51610500100,Census Tract 5001,1524546,0,38.8897746,-77.1759258
-77.17617537,38.88556532,-77.17617537,38.88556532,26,M,100,A,"402 W Broad St, Falls Church, Virginia, 22046",VA,1300,4/17/2010,1070031,0,106,5,111,0,1,,,,,A,1,4602,12,51,52,0,6,0,0,18,0,0,0,4000,2000,0,0,0,0,0,0,1,,58,429,1,,1,,,NNN,,,N,,,24,60,51,,68,5,52,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,4,0,,,400,3,1,0,0,0,0,,,,1,5,7,2,1,,1,1,1,1,,,1,402,W,BROAD,ST,,307,Falls Church,VA,22046,,219,402 W BROAD ST,1,,,51610500100,Census Tract 5001,1524546,0,38.8897746,-77.1759258
